time,bid-price,bid-volume,ask-price,ask-volume
2008-01-02 18:21:17.783000320,62.53,1,62.55,3
2008-01-02 18:21:18.964000000,62.53,1,62.55,1
2008-01-02 18:21:20.636999936,62.53,2,62.55,1
2008-01-02 18:21:21.768999936,62.53,1,62.55,1
2008-01-02 18:21:23.392000256,62.53,2,62.55,1
2008-01-02 18:21:26.093000192,62.53,2,62.56,1
2008-01-02 18:21:28.407000320,62.53,2,62.56,3
2008-01-02 18:21:29.321000192,62.53,2,62.56,1
2008-01-02 18:21:29.532000512,62.53,2,62.55,2
2008-01-02 18:21:29.794000384,62.53,2,62.56,1
2008-01-02 18:21:30.298999808,62.53,2,62.56,4
2008-01-02 18:21:31.554000128,62.54,1,62.56,4
2008-01-02 18:21:33.794000896,62.54,1,62.56,6
2008-01-02 18:21:37.226999808,62.54,1,62.55,1
2008-01-02 18:21:37.993000448,62.54,1,62.55,2
2008-01-02 18:21:37.993000448,62.53,1,62.55,2
2008-01-02 18:21:38.061999616,62.53,1,62.55,3
2008-01-02 18:21:38.061999616,62.53,1,62.55,4
2008-01-02 18:21:38.061999616,62.53,1,62.55,5
2008-01-02 18:21:38.145999616,62.53,1,62.55,4
2008-01-02 18:21:38.145999616,62.53,1,62.55,3
2008-01-02 18:21:38.311998976,62.52,7,62.55,3
2008-01-02 18:21:38.633999872,62.52,7,62.54,1
2008-01-02 18:21:39.228000000,62.5,111,62.54,1
2008-01-02 18:21:39.547999744,62.52,1,62.54,1
2008-01-02 18:21:39.547999744,62.5,119,62.54,1
2008-01-02 18:21:39.967999232,62.5,121,62.54,1
2008-01-02 18:21:41.829000448,62.5,121,62.54,2
2008-01-02 18:21:41.897000704,62.5,119,62.54,2
2008-01-02 18:21:42.047000064,62.5,119,62.54,3
2008-01-02 18:21:42.047000064,62.51,1,62.54,3
2008-01-02 18:21:42.047000064,62.51,1,62.54,2
2008-01-02 18:21:42.047000064,62.51,1,62.54,1
2008-01-02 18:21:42.303000320,62.51,2,62.54,1
2008-01-02 18:21:42.901999872,62.51,4,62.54,1
2008-01-02 18:21:43.774999808,62.51,4,62.55,4
2008-01-02 18:21:45.777000192,62.51,4,62.55,2
2008-01-02 18:21:48.314000384,62.51,5,62.55,2
2008-01-02 18:21:50.054000384,62.51,5,62.55,4
2008-01-02 18:21:50.978000384,62.51,5,62.55,2
2008-01-02 18:21:51.643000576,62.51,5,62.55,1
2008-01-02 18:21:51.643000576,62.51,6,62.55,1
2008-01-02 18:21:51.802000128,62.52,1,62.55,1
2008-01-02 18:21:52.140000512,62.52,2,62.55,1
2008-01-02 18:21:52.790000896,62.52,4,62.55,1
2008-01-02 18:21:53.709999872,62.53,1,62.55,1
2008-01-02 18:21:53.912000512,62.53,1,62.55,3
2008-01-02 18:21:54.008000512,62.53,2,62.55,3
2008-01-02 18:21:54.431000320,62.53,2,62.55,1
2008-01-02 18:21:54.897000704,62.53,2,62.55,2
2008-01-02 18:21:55.400999936,62.54,1,62.55,2
2008-01-02 18:21:58.536999936,62.54,1,62.55,4
2008-01-02 18:21:58.702999808,62.54,1,62.55,2
2008-01-02 18:22:00.408999936,62.54,1,62.56,4
2008-01-02 18:22:00.758999808,62.54,1,62.56,3
2008-01-02 18:22:00.982000128,62.54,1,62.56,4
2008-01-02 18:22:01.624999936,62.54,1,62.56,5
2008-01-02 18:22:02.264000256,62.54,1,62.56,4
2008-01-02 18:22:03.473999616,62.53,1,62.56,4
2008-01-02 18:22:03.717999360,62.53,1,62.56,2
2008-01-02 18:22:10.537000192,62.53,1,62.56,1
2008-01-02 18:22:10.724001280,62.53,1,62.55,1
2008-01-02 18:22:10.757000704,62.53,1,62.54,3
2008-01-02 18:22:14.888000000,62.53,1,62.54,2
2008-01-02 18:22:16.312999936,62.51,8,62.54,2
2008-01-02 18:22:16.495999744,62.51,1,62.54,2
2008-01-02 18:22:16.495999744,62.51,3,62.54,2
2008-01-02 18:22:16.495999744,62.51,4,62.54,2
2008-01-02 18:22:16.495999744,62.51,4,62.54,3
2008-01-02 18:22:17.026000128,62.51,4,62.54,2
2008-01-02 18:22:17.060000256,62.51,4,62.55,1
2008-01-02 18:22:17.060000256,62.51,2,62.55,1
2008-01-02 18:22:23.323000064,62.51,4,62.55,1
2008-01-02 18:22:33.322000384,62.51,4,62.54,1
2008-01-02 18:22:33.471000064,62.51,2,62.54,1
2008-01-02 18:22:33.543000320,62.51,1,62.54,1
2008-01-02 18:22:34.956999424,62.51,1,62.53,1
2008-01-02 18:22:38.635999744,62.51,1,62.56,3
2008-01-02 18:22:38.723000064,62.51,1,62.55,1
2008-01-02 18:22:38.723000064,62.52,1,62.55,1
2008-01-02 18:22:38.797999616,62.52,2,62.55,1
2008-01-02 18:22:39.383000064,62.52,3,62.55,1
2008-01-02 18:22:39.592000000,62.52,5,62.55,1
2008-01-02 18:22:39.592000000,62.52,3,62.55,1
2008-01-02 18:22:39.740000000,62.52,2,62.55,1
2008-01-02 18:22:41.164999936,62.52,4,62.55,1
2008-01-02 18:22:41.220999936,62.52,3,62.55,1
2008-01-02 18:22:41.328000000,62.52,2,62.55,1
2008-01-02 18:22:41.410000128,62.51,1,62.55,1
2008-01-02 18:22:41.644000000,62.51,1,62.56,1
2008-01-02 18:22:41.735000320,62.51,1,62.54,1
2008-01-02 18:22:41.812000256,62.51,2,62.54,1
2008-01-02 18:22:41.812000256,62.51,3,62.54,1
2008-01-02 18:22:41.941000192,62.51,3,62.55,1
2008-01-02 18:22:43.415999744,62.53,1,62.55,1
2008-01-02 18:22:46.226000128,62.53,1,62.54,1
2008-01-02 18:22:47.714000128,62.53,1,62.54,5
2008-01-02 18:22:49.476000256,62.53,1,62.54,4
2008-01-02 18:22:49.844000000,62.53,1,62.55,1
2008-01-02 18:22:50.148999936,62.53,1,62.55,2
2008-01-02 18:22:50.230999552,62.53,1,62.55,1
2008-01-02 18:22:50.230999552,62.53,2,62.55,1
2008-01-02 18:22:50.230999552,62.53,2,62.56,1
2008-01-02 18:22:50.305999104,62.53,2,62.56,2
